31,1309-1301-20170105-0016,1309,沧州市,20170105,1301,石家庄,0016,11925,0.3,0.7,0,116.75859,38.26677,114.4458,38.13195,257,1309,沧州市,1301,石家庄,迁出
32,1309-3714-20170105-0016,1309,沧州市,20170105,3714,德州,0016,7870,0.63,0.37,0,116.75859,38.26677,116.65091,37.24778,114,1309,沧州市,3714,德州,迁出
33,1309-2301-20170105-0016,1309,沧州市,20170105,2301,哈尔滨,0016,7854,0.01,0.92,0.07,116.75859,38.26677,127.963104,45.63947,1489,1309,沧州市,2301,哈尔滨,迁出
34,1309-1302-20170105-0016,1309,沧州市,20170105,1302,唐山,0016,4488,0.33,0.67,0,116.75859,38.26677,118.34046,39.724365,239,1309,沧州市,1302,唐山,迁出
35,1307-1100-20170105-0016,1307,张家口市,20170105,1100,北京,0016,21211,0.32,0.68,0,115.03827,40.867504,116.41949,40.186707,171,1307,张家口市,1100,北京,迁出
36,1307-1402-20170105-0016,1307,张家口市,20170105,1402,大同,0016,4841,0.48,0.52,0,115.03827,40.867504,113.725685,39.900856,181,1307,张家口市,1402,大同,迁出
37,1307-1301-20170105-0016,1307,张家口市,20170105,1301,石家庄,0016,4324,0.28,0.72,0,115.03827,40.867504,114.4458,38.13195,311,1307,张家口市,1301,石家庄,迁出
38,1307-1200-20170105-0016,1307,张家口市,20170105,1200,天津,0016,3779,0.24,0.76,0,115.03827,40.867504,117.33755,39.29692,309,1307,张家口市,1200,天津,迁出
39,1307-1509-20170105-0016,1307,张家口市,20170105,1509,乌兰察布,0016,2574,0.52,0.48,0,115.03827,40.867504,112.43363,41.68491,303,1307,张家口市,1509,乌兰察布,迁出
40,1306-1200-20170105-0016,1306,保定市,20170105,1200,天津,0016,8412,0.34,0.66,0,115.17669,39.022297,117.33755,39.29692,242,1306,保定市,1200,天津,迁出
41,1306-4201-20170105-0016,1306,保定市,20170105,4201,武汉,0016,6029,0.09,0.88,0.03,115.17669,39.022297,114.346756,30.621449,937,1306,保定市,4201,武汉,迁出
42,1306-5101-20170105-0016,1306,保定市,20170105,5101,成都,0016,5687,0,0.53,0.47,115.17669,39.022297,103.93575,30.65044,1556,1306,保定市,5101,成都,迁出
43,1403-1100-20170105-0016,1403,阳泉市,20170105,1100,北京,0016,1825,0.19,0.81,0,113.50356,38.065125,116.41949,40.186707,400,1403,阳泉市,1100,北京,迁出
44,1403-1200-20170105-0016,1403,阳泉市,20170105,1200,天津,0016,862,0.32,0.66,0.02,113.50356,38.065125,117.33755,39.29692,447,1403,阳泉市,1200,天津,迁出
45,1403-1411-20170105-0016,1403,阳泉市,20170105,1411,吕梁,0016,685,0.25,0.75,0,113.50356,38.065125,111.26789,37.67888,252,1403,阳泉市,1411,吕梁,迁出
